CURR_ID,CURR_NAME,CURR_NAME_EN,UNIV_NAME_TH,LEV_NAME_TH,COST_PER_YEAR
25520131101047,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาการส่งเสริมและสื่อสารเกษตร,Bachelor of Science Program in Agricultural Extension and Communication,มหาวิทยาลัยแม่โจ้,ปริญญาตรี,21375
25490131103002,หลักสูตรวิทยาศาสตรบัณฑิต (เกษตรศาสตร์) สาขาวิชาพืชสวน,Bachelor of Science (Agriculture) Program in  Horticulture,มหาวิทยาลัยแม่โจ้,ปริญญาตรี,30000
25520133208724,หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาส่งเสริมการเกษตรและการพัฒนาชนบท,Doctor of Philosophy Program in Agricultural Extension and Rural Development,มหาวิทยาลัยแม่โจ้,ปริญญาเอก,200000
25491691101701,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาดนตรีศึกษา (5 ปี),Bachelor of Education Program in Music Education,มหาวิทยาลัยราชภัฏอุดรธานี,ปริญญาตรี,70000
25481691101349,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ (5 ปี),Bachelor of  Education Program in Science,มหาวิทยาลัยราชภัฏอุดรธานี,ปริญญาตรี,70000
25511711108047,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาการประถมศึกษา( 5 ปี),Bachelor of Education Program in Elementary Education,มหาวิทยาลัยราชภัฏอุบลราชธานี,ปริญญาตรี,131629
25611551100034,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาการประถมศึกษา ( 5 ปี),Bachelor of Education Program in Elementary Education,มหาวิทยาลัยราชภัฏภูเก็ต,ปริญญาตรี,30000
25481411110552,หลักสูตรครุศาสตรมหาบัณฑิต สาขาวิชาการบริหารการศึกษา,Master of Education Program in Educational Administration,มหาวิทยาลัยราชภัฏกำแพงเพชร,ปริญญาโท,120000
25511411110948,หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชายุทธศาสตร์การบริหารและการพัฒนา,Doctor of Philosophy Program in Administration and Development Strategy,มหาวิทยาลัยราชภัฏกำแพงเพชร,ปริญญาเอก,245000
25611411600045,หลักสูตรศิลปศาสตรมหาบัณฑิต สาขาวิชายุทธศาสตร์การบริหารและการพัฒนา,Master of Arts  Program in  Administration and Development Strategy,มหาวิทยาลัยราชภัฏกำแพงเพชร,ปริญญาโท,120000
25570261101835,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาภาษาไทย (5 ปี),Bachelor of Education Program in Thai Language,มหาวิทยาลัยนครพนม,ปริญญาตรี,11272
25490681101743,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเทคนิคการแพทย์,Bachelor of Science Program in Medical Technology,มหาวิทยาลัยรังสิต,ปริญญาตรี,156075
25501621101197,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ทั่วไป (4 ปี),Bachelor of Education Program in General Science,มหาวิทยาลัยราชภัฏเลย,ปริญญาตรี,11750
25500101111267,หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาการจัดการทรัพยากรเกษตรเขตร้อน,Doctor of Philosophy Program in Tropical Agricultural Resource Management,มหาวิทยาลัยสงขลานครินทร์,ปริญญาเอก,111792
25500101111278,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาพืชศาสตร์,Master of Science Program in Plant Science,มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,415000
25500101111425,หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาพืชศาสตร์,Doctor of Philosophy Program in Plant Science,มหาวิทยาลัยสงขลานครินทร์,ปริญญาเอก,2075000
25640104002491,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชานวัตกรรมการเกษตรและการจัดการ,Bachelor of Science Program in Agricultural Innovation and Management,มหาวิทยาลัยสงขลานครินทร์,ปริญญาตรี,108510
25510031100268,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาเกษตรศาสตร์   (หลักสูตรนานาชาติ),Master of Science Program in Agriculture (International Program),มหาวิทยาลัยขอนแก่น,ปริญญาโท,64000
25510031110923,หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาเกษตรศาสตร์  (หลักสูตรนานาชาติ),Doctor of Philosophy Program in Agriculture (International Program),มหาวิทยาลัยขอนแก่น,ปริญญาเอก,64000
25220031100018,หลักสูตรวิทยาศาสตรบัณฑิต สาขาวิชาเศรษฐศาสตร์เกษตร,Bachelor of Science Program in Agricultural Economics,มหาวิทยาลัยขอนแก่น,ปริญญาตรี,24000
25470191104277,หลักสูตรพยาบาลศาสตรมหาบัณฑิต (หลักสูตรนานาชาติ),Master of Nursing Science Program (International Program),มหาวิทยาลัยบูรพา,ปริญญาโท,66000
25510191109413,หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการผดุงครรภ์,Master of Nursing Science Program in Midwifery,มหาวิทยาลัยบูรพา,ปริญญาโท,66000
25480191106078,หลักสูตรพยาบาลศาสตรบัณฑิต,Bachelor of Nursing Science Program,มหาวิทยาลัยบูรพา,ปริญญาตรี,61600
25610194000719,หลักสูตรพยาบาลศาสตรบัณฑิต (หลักสูตรภาษาอังกฤษ),Bachelor of Nursing Science Program (English Program),มหาวิทยาลัยบูรพา,ปริญญาตรี,792000
25561011100959,หลักสูตรพยาบาลศาสตรบัณฑิต,Bachelor of Nursing Science Program,มหาวิทยาลัยชินวัตร,ปริญญาตรี,116936
25481701107652,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาวิทยาศาสตร์ทั่วไป(4 ปี),Bachelor of  Education Program in  General  Science,มหาวิทยาลัยราชภัฏอุตรดิตถ์,ปริญญาตรี,15000
25571701101172,หลักสูตรครุศาสตรบัณฑิต สาขาวิชาการประถมศึกษา    (4 ปี),Bachelor of  Education Program in Elementary Education,มหาวิทยาลัยราชภัฏอุตรดิตถ์,ปริญญาตรี,15000
25500681100833,หลักสูตรพยาบาลศาสตรบัณฑิต,ฺBachelor of Nursing Science Program,มหาวิทยาลัยรังสิต,ปริญญาตรี,191200
25540101102317,หลักสูตรวิทยาศาสตรมหาบัณฑิต สาขาวิชาวิทยาการสุขภาพช่องปากประยุกต์,Master of Science Program in Applied Oral Health Sciences,มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,33953
25510101109918,หลักสูตรประกาศนียบัตรบัณฑิตชั้นสูงทางวิทยาศาสตร์การแพทย์คลินิก สาขาวิชาศัลยศาสตร์ช่องปากและแม็กซิลโลเฟเชียล,Higher Graduate Diploma Program in Clinical Science in Oral and Maxillofacial Surgery,มหาวิทยาลัยสงขลานครินทร์,ประกาศนียบัตรบัณฑิตชั้นสูง,161773
25480101109498,หลักสูตรปรัชญาดุษฎีบัณฑิต สาขาวิชาวิทยาศาสตร์สุขภาพช่องปาก,Doctor of  Philosophy  Program in Oral  Health  Sciences,มหาวิทยาลัยสงขลานครินทร์,ปริญญาเอก,147236
25500101111379,หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการพยาบาลเวชปฏิบัติชุมชน,Master of Nursing Science Program in Community Nurse Practitioner,มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,227900
25501651100638,หลักสูตรพยาบาลศาสตรบัณฑิต,Bachelor of Nursing Science Program,มหาวิทยาลัยสวนดุสิต,ปริญญาตรี,128848
25600106000722,หลักสูตรพยาบาลศาสตรมหาบัณฑิต  สาขาวิชาการผดุงครรภ์,Master of Nursing Science Program in Midwifery,มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,331800
25600106000711,หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการพยาบาลจิตเวชและสุขภาพจิต,Master of Nursing Science Program in Psychiatric and Mental Health Nursing,มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,331800
25510101109953,หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการบริหารทางการพยาบาล,Master of Nursing Science Program in Nursing Administration,มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,189500
25540731101215,หลักสูตรพยาบาลศาสตรบัณฑิต,Bachelor of Nursing Science Program,มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,ปริญญาตรี,46232
25450101102486,หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการพยาบาลผู้ใหญ่และผู้สูงอายุ (หลักสูตรนานาชาติ),Master of Nursing Science Program in Adult and Gerontological Nursing (International Program),มหาวิทยาลัยสงขลานครินทร์,ปริญญาโท,374700
25490031100277,หลักสูตรพยาบาลศาสตรมหาบัณฑิต  (หลักสูตรนานาชาติ),Master of Nursing Science Program (International Program),มหาวิทยาลัยขอนแก่น,ปริญญาโท,71875
25420201101066,หลักสูตรพยาบาลศาสตรมหาบัณฑิต สาขาวิชาการบริหารทางการพยาบาล,Master of Nursing Science Program in Nursing Administration,มหาวิทยาลัยนเรศวร,ปริญญาโท,64500
25520201109224,พยาบาลศาสตรมหาบัณฑิต สาขาวิชาการพยาบาลเวชปฏิบัติชุมชน,Master of Nursing Science Program in Community Nurse Practitioner,มหาวิทยาลัยนเรศวร,ปริญญาโท,64500
